Symbol,Date,Time,Type,RVOL,Max_Gain_30m,Final_PnL_30m,Is_Win
ADANIPORTS,2025-12-03,2025-12-03 12:25:00+05:30,SHORT,0.5125481343779047,0.9014980776879166,0.7556675062972201,True
EICHERMOT,2025-11-19,2025-11-19 14:10:00+05:30,LONG,5.879557156598328,0.3058994901675164,0.20393299344501092,True
EICHERMOT,2025-12-01,2025-12-01 11:25:00+05:30,LONG,0.4481522338665196,0.4650507328072154,0.2677564825253664,True
EICHERMOT,2025-12-03,2025-12-03 13:25:00+05:30,SHORT,0.5643164784481297,0.14145271942853102,0.06365372374283895,True
TITAN,2025-11-18,2025-11-18 15:20:00+05:30,LONG,5.336233882949956,0.3034823311558094,-0.08230029319478983,False
TITAN,2025-11-19,2025-11-19 11:45:00+05:30,LONG,0.48962210328995626,0.17921146953405018,0.0844854070660569,True
TITAN,2025-11-24,2025-11-24 12:35:00+05:30,SHORT,3.342430185729342,0.12886597938144329,-0.2164948453608271,False
TITAN,2025-11-26,2025-11-26 14:00:00+05:30,LONG,2.805761859127935,0.07445251726528435,-0.051346563631228984,False
SBIN,2025-11-19,2025-11-19 12:20:00+05:30,LONG,0.7721272987592785,0.17911975435005117,0.13817809621289895,True
SBIN,2025-11-24,2025-11-24 15:00:00+05:30,SHORT,10.422114513895565,0.06194187787126648,-0.10839828627471927,False
SBIN,2025-11-26,2025-11-26 12:50:00+05:30,LONG,1.2712225426163428,0.010083186286868943,-0.28232921603226163,False
SBIN,2025-11-27,2025-11-27 11:35:00+05:30,SHORT,0.645844597048167,0.2813587067730714,0.2404338039697179,True
SBIN,2025-12-01,2025-12-01 13:55:00+05:30,SHORT,0.31001383369357444,0.04108252452112949,-0.02567657782570739,False
TECHM,2025-11-19,2025-11-19 13:05:00+05:30,LONG,0.2736557099403545,0.013866740622619809,-0.0901338140470051,False
TECHM,2025-12-01,2025-12-01 13:40:00+05:30,LONG,2.758017552704413,0.15703723091016758,-0.019629653863767228,False
TECHM,2025-12-03,2025-12-03 11:30:00+05:30,LONG,0.4703604644211801,0.4469201373145841,0.31090096508840953,True
AXISBANK,2025-11-18,2025-11-18 11:00:00+05:30,LONG,0.42653013999768596,0.30925382602490614,0.22202838791532645,True
AXISBANK,2025-11-24,2025-11-24 12:00:00+05:30,LONG,0.8567708042185388,0.12470771628993835,0.062353858144969174,True
AXISBANK,2025-11-28,2025-11-28 14:05:00+05:30,SHORT,2.48689138576779,0.07050528789659936,-0.10967489228359507,False
AXISBANK,2025-12-01,2025-12-01 11:45:00+05:30,SHORT,0.8359884360055497,0.11013215859031551,0.03146633102580954,True
