Symbol,Date,Type,Zone,RVOL,Entry,Exit,Reason,Spot_PnL,Option_PnL,Total_Profit
KOTAKBANK,2025-11-18,SHORT,GOLD,1.7913853181458814,2090.1,2095.6,EOD,-5.5,-2.75,-1100.0
KOTAKBANK,2025-11-19,LONG,GOLD,1.6224042203074784,2107.2,2106.8,Time Limit (60m),-0.3999999999996362,-0.1999999999998181,-79.99999999992724
KOTAKBANK,2025-11-21,SHORT,GOLD,1.5374158912903348,2087.9,2086.5,EOD,1.400000000000091,0.7000000000000455,280.0000000000182
KOTAKBANK,2025-11-25,SHORT,QUIET,1.0697268349759237,2073.0,2077.8,Time Limit (60m),-4.800000000000182,-2.400000000000091,-960.0000000000364
KOTAKBANK,2025-11-26,LONG,GOLD,2.3013902521957257,2090.5,2093.3,Time Limit (60m),2.800000000000182,1.400000000000091,560.0000000000364
KOTAKBANK,2025-11-27,LONG,QUIET,1.38216805151907,2125.7,2122.8,Time Limit (60m),-2.899999999999636,-1.449999999999818,-579.9999999999272
KOTAKBANK,2025-11-28,LONG,QUIET,1.052416930942706,2130.9,2131.2,Time Limit (60m),0.29999999999972715,0.14999999999986358,59.99999999994543
APOLLOHOSP,2025-11-19,LONG,GOLD,1.5059400702226924,7450.0,7457.0,Time Limit (60m),7.0,3.5,437.5
APOLLOHOSP,2025-11-21,SHORT,GOLD,2.3810057117258374,7392.0,7393.0,EOD,-1.0,-0.5,-62.5
APOLLOHOSP,2025-11-24,SHORT,QUIET,1.066116090282014,7365.5,7340.0,EOD,25.5,12.75,1593.75
APOLLOHOSP,2025-11-25,SHORT,GOLD,2.1073468978650896,7315.5,7315.5,EOD,0.0,0.0,0.0
APOLLOHOSP,2025-11-26,LONG,QUIET,1.0109350591385853,7393.0,7385.5,Time Limit (60m),-7.5,-3.75,-468.75
ADANIPORTS,2025-11-18,SHORT,QUIET,1.1919243430005528,1500.2,1494.4,Time Limit (60m),5.7999999999999545,2.8999999999999773,1449.9999999999886
ADANIPORTS,2025-11-19,SHORT,QUIET,1.1980655260227246,1481.9,1482.5,Time Limit (60m),-0.599999999999909,-0.2999999999999545,-149.99999999997726
ADANIPORTS,2025-11-20,LONG,GOLD,1.855619769963553,1497.6,1494.9,Time Limit (60m),-2.699999999999818,-1.349999999999909,-674.9999999999545
ADANIPORTS,2025-12-02,SHORT,GOLD,1.8455526785608722,1519.3,1517.7,Time Limit (60m),1.599999999999909,0.7999999999999545,399.99999999997726
EICHERMOT,2025-12-03,SHORT,QUIET,1.4037039096824426,7063.5,7063.5,EOD,0.0,0.0,0.0
TITAN,2025-11-19,LONG,QUIET,1.0778422146843198,3908.3,3932.0,Time Limit (60m),23.699999999999818,11.849999999999909,2073.749999999984
TITAN,2025-11-25,SHORT,GOLD,1.5237837013438171,3847.1,3847.1,EOD,0.0,0.0,0.0
TITAN,2025-11-26,LONG,GOLD,1.9653896646377849,3895.4,3899.2,EOD,3.799999999999727,1.8999999999998636,332.4999999999761
TITAN,2025-12-01,SHORT,QUIET,1.1505947221943964,3888.0,3888.0,EOD,0.0,0.0,0.0
SBIN,2025-11-26,LONG,QUIET,1.2712225426163428,991.75,988.0,Time Limit (60m),-3.75,-1.875,-2812.5
SBIN,2025-11-27,SHORT,GOLD,1.9690831517814262,977.45,971.9,Time Limit (60m),5.550000000000068,2.775000000000034,4162.500000000051
SBIN,2025-12-01,SHORT,QUIET,1.3159921240598904,972.55,972.6,EOD,-0.05000000000006821,-0.025000000000034106,-37.50000000005116
TECHM,2025-12-03,LONG,QUIET,1.1395690360058743,1544.1,1540.6,Time Limit (60m),-3.5,-1.75,-1050.0
AXISBANK,2025-11-28,SHORT,GOLD,2.48689138576779,1276.5,1279.3,Time Limit (60m),-2.7999999999999545,-1.3999999999999773,-874.9999999999858
