Date,OptionSymbol,Low,High,MaxReturn%,Volume
2025-12-24,IIFL25DEC600PE,6.15,25.25,310.6,2768700.0
2025-12-24,INDHOTEL25DEC740CE,4.3,6.55,52.3,2156000.0
2025-12-24,INDHOTEL25DEC740PE,5.4,8.9,64.8,484000.0
2025-12-24,INDIANB25DEC770CE,10.6,14.9,40.6,88000.0
2025-12-24,INDIANB25DEC770PE,3.05,5.3,73.8,358000.0
2025-12-24,INDIGO25DEC5100CE,22.3,85.4,283.0,2052750.0
2025-12-24,INDIGO25DEC5100PE,19.25,62.55,224.9,2997150.0
2025-12-24,INDUSINDBK25DEC850CE,6.3,14.75,134.1,2728600.0
2025-12-24,INDUSINDBK25DEC850PE,5.5,12.85,133.6,1098300.0
2025-12-24,INDUSTOWER25DEC425CE,1.8,6.95,286.1,11619500.0
2025-12-24,INDUSTOWER25DEC425PE,3.4,11.15,227.9,3879400.0
2025-12-24,INFY25DEC1660CE,6.85,13.55,97.8,7978800.0
2025-12-24,INFY25DEC1660PE,9.65,18.5,91.7,5050000.0
2025-12-24,INOXWIND25DEC127.5CE,1.2,4.2,250.0,3484680.0
2025-12-24,INOXWIND25DEC127.5PE,0.5,1.98,296.0,2712488.0
2025-12-24,IOC25DEC161CE,1.31,2.65,102.3,1043250.0
2025-12-24,IOC25DEC161PE,0.62,1.15,85.5,5372250.0
2025-12-24,IRCTC25DEC680CE,5.15,9.25,79.6,1909250.0
2025-12-24,IRCTC25DEC680PE,2.95,5.2,76.3,982625.0
2025-12-24,IREDA25DEC137.5CE,1.45,3.0,106.9,917700.0
2025-12-24,IREDA25DEC137.5PE,0.83,1.6,92.8,1400700.0
2025-12-24,IRFC25DEC122CE,1.15,2.76,140.0,25874000.0
2025-12-24,IRFC25DEC122PE,1.0,2.34,134.0,5971250.0
2025-12-24,ITC25DEC407.5CE,1.1,3.55,222.7,6681600.0
2025-12-24,ITC25DEC407.5PE,1.75,3.1,77.1,7868800.0
2025-12-24,JINDALSTEL25DEC1000CE,8.1,17.1,111.1,506250.0
2025-12-24,JINDALSTEL25DEC1000PE,6.0,15.0,150.0,770625.0
2025-12-24,JIOFIN25DEC300CE,2.15,4.65,116.3,17533350.0
2025-12-24,JIOFIN25DEC300PE,1.5,3.8,153.3,8944100.0
2025-12-24,JSWENERGY25DEC480CE,5.9,10.9,84.7,1888000.0
2025-12-24,JSWENERGY25DEC480PE,2.5,5.25,110.0,1481000.0
2025-12-24,JSWSTEEL25DEC1090CE,8.2,17.25,110.4,470475.0
2025-12-24,JSWSTEEL25DEC1090PE,5.25,9.0,71.4,591300.0
2025-12-24,JUBLFOOD25DEC560CE,5.6,9.15,63.4,893750.0
2025-12-24,JUBLFOOD25DEC560PE,2.8,5.3,89.3,1568750.0
2025-12-24,KALYANKJIL25DEC490CE,2.6,6.4,146.2,1367700.0
2025-12-24,KALYANKJIL25DEC490PE,4.0,7.7,92.5,442975.0
2025-12-24,KAYNES25DEC4100CE,79.25,155.3,96.0,229200.0
2025-12-24,KAYNES25DEC4100PE,46.3,81.05,75.1,625500.0
2025-12-24,KEI25DEC4400CE,51.75,77.05,48.9,100100.0
2025-12-24,KEI25DEC4400PE,27.75,50.4,81.6,130375.0
2025-12-24,KFINTECH25DEC1100CE,6.5,25.55,293.1,897750.0
2025-12-24,KFINTECH25DEC1100PE,7.3,18.5,153.4,513000.0
2025-12-24,KOTAKBANK25DEC2160CE,12.75,25.4,99.2,1709600.0
2025-12-24,KOTAKBANK25DEC2160PE,6.65,13.45,102.3,2213200.0
2025-12-24,KPITTECH25DEC1220CE,10.15,25.45,150.7,227200.0
